Player,Tm,yardline_100
D.WASHINGTON,OAK,49
K.JOHNSON,DET,16
M.BREIDA,SF,49
D.MONTGOMERY,CHI,33
M.TRUBISKY,CHI,32
R.FREEMAN,DEN,41
K.MURRAY,ARI,22
K.MURRAY,ARI,41
C.PROSISE,SEA,42
C.CARSON,SEA,42
D.MOORE,SEA,45
M.SANDERS,PHI,40
L.MURRAY,NO,25
A.KAMARA,NO,41
D.DAWKINS,TEN,15
D.DAWKINS,TEN,19
D.DAWKINS,TEN,28
D.DAWKINS,TEN,42
T.HILL,NO,43
A.KAMARA,NO,50
D.LEWIS,TEN,40
M.SANDERS,PHI,1
M.SANDERS,PHI,1
M.SANDERS,PHI,6
C.WENTZ,PHI,19
DAM.WILLIAMS,KC,28
D.MONTGOMERY,CHI,46
DAM.WILLIAMS,KC,40
DAM.WILLIAMS,KC,46
T.POLLARD,DAL,25
T.POLLARD,DAL,26
E.ELLIOTT,DAL,34
E.ELLIOTT,DAL,44
A.PETERSON,WAS,8
A.PETERSON,WAS,24
C.THOMPSON,WAS,43
S.BARKLEY,NYG,47
S.BARKLEY,NYG,49
A.ABDULLAH,MIN,50
M.BOONE,MIN,44
M.BOONE,MIN,48
A.JONES,GB,25
A.JONES,GB,40
J.WILLIAMS,GB,45
M.BOONE,MIN,24
M.BOONE,MIN,26
A.JONES,GB,31
J.WILLIAMS,GB,45
A.JONES,GB,41
M.BOONE,MIN,10
D.THOMPSON,KC,18
D.THOMPSON,KC,19
D.THOMPSON,KC,18
D.THOMPSON,KC,20
D.THOMPSON,KC,28
DAM.WILLIAMS,KC,41
DAM.WILLIAMS,KC,44
M.TRUBISKY,CHI,5
D.MONTGOMERY,CHI,5
C.PATTERSON,CHI,21
T.COHEN,CHI,23
D.MONTGOMERY,CHI,39
D.MONTGOMERY,CHI,44
P.MAHOMES,KC,12
S.WARE,KC,17
J.MIXON,CIN,24
J.MIXON,CIN,37
M.GASKIN,MIA,2
A.WILSON,MIA,11
M.GASKIN,MIA,14
M.GASKIN,MIA,23
M.GASKIN,MIA,34
M.GASKIN,MIA,45
J.MIXON,CIN,43
G.BERNARD,CIN,41
P.LAIRD,MIA,19
D.TURNER,MIA,46
K.DRAKE,ARI,29
K.DRAKE,ARI,31
K.DRAKE,ARI,3
B.HUNDLEY,ARI,15
K.DRAKE,ARI,14
C.KIRK,ARI,22
B.HUNDLEY,ARI,28
B.HUNDLEY,ARI,42
K.DRAKE,ARI,44
K.DRAKE,ARI,50
T.HOMER,SEA,9
T.HOMER,SEA,16
K.DRAKE,ARI,31
B.HUNDLEY,ARI,37
K.DRAKE,ARI,45
K.DRAKE,ARI,49
K.MURRAY,ARI,31
K.DRAKE,ARI,29
K.DRAKE,ARI,44
A.KAMARA,NO,1
A.KAMARA,NO,4
A.KAMARA,NO,40
L.MURRAY,NO,34
T.HILL,NO,41
L.MURRAY,NO,43
A.BROWN,TEN,49
D.DAWKINS,TEN,41
DAM.WILLIAMS,KC,16
S.WARE,KC,32
D.MONTGOMERY,CHI,30
D.MONTGOMERY,CHI,46
E.ELLIOTT,DAL,49
J.HILL,BAL,18
G.EDWARDS,BAL,43
B.SCOTT,PHI,42
D.PRESCOTT,DAL,38
E.ELLIOTT,DAL,38
B.SCOTT,PHI,10
M.SANDERS,PHI,47
M.SANDERS,PHI,24
M.GASKIN,MIA,27
M.GASKIN,MIA,31
M.GASKIN,MIA,36
J.MIXON,CIN,1
J.MIXON,CIN,2
J.MIXON,CIN,4
J.MIXON,CIN,12
J.MIXON,CIN,15
M.GASKIN,MIA,22
J.WILKINS,IND,1
J.WILKINS,IND,1
J.WILKINS,IND,40
N.HINES,IND,44
W.GRIER,CAR,12
C.MCCAFFREY,CAR,17
W.GRIER,CAR,33
C.MCCAFFREY,CAR,32
C.MCCAFFREY,CAR,47
J.WILKINS,IND,21
M.MACK,IND,47
M.MACK,IND,3
M.MACK,IND,8
M.MACK,IND,12
M.MACK,IND,23
J.BRISSETT,IND,40
M.MACK,IND,47
M.MACK,IND,2
J.BRISSETT,IND,47
