,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Zane Gonzalez(CAR),4,4,100.0,49,0,1,0,3,0,2,2,1,17.0,17.0,2.6%
1,2,Jake Elliott(PHI),3,3,100.0,52,0,1,1,0,1,3,3,1,14.0,14.0,22.5%
2,3,Chris Boswell(PIT),3,3,100.0,51,0,2,0,0,1,1,1,1,12.0,12.0,51.0%
3,4,Harrison Butker(KC),2,3,66.7,40,0,0,1,1,0,5,5,1,12.0,12.0,76.6%
4,5,Joey Slye(WAS),3,3,100.0,46,0,2,0,1,0,2,2,1,12.0,12.0,1.6%
5,6,Michael Badgley(IND),3,3,100.0,37,0,2,1,0,0,2,2,1,11.0,11.0,19.9%
6,7,Randy Bullock(TEN),3,3,100.0,36,0,1,2,0,0,2,2,1,11.0,11.0,10.8%
7,8,Greg Joseph(MIN),2,2,100.0,46,0,0,1,1,0,3,3,1,10.0,10.0,69.1%
8,9,Jason Sanders(MIA),3,3,100.0,31,0,2,1,0,0,1,1,1,10.0,10.0,22.6%
9,10,Robbie Gould(SF),1,1,100.0,50,0,0,0,0,1,4,4,1,9.0,9.0,22.5%
10,11,Nick Folk(NE),1,1,100.0,38,0,0,1,0,0,6,6,1,9.0,9.0,81.8%
11,12,Dustin Hopkins(LAC),2,2,100.0,46,0,1,0,1,0,2,2,1,9.0,9.0,14.5%
12,13,Tyler Bass(BUF),1,1,100.0,29,0,1,0,0,0,6,6,1,9.0,9.0,84.8%
13,14,Ryan Succop(TB),2,2,100.0,31,0,1,1,0,0,1,2,1,7.0,7.0,57.4%
14,15,Brandon McManus(DEN),2,3,66.7,28,0,2,0,0,0,1,1,1,7.0,7.0,44.3%
15,16,Matt Ammendola(NYJ),1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,0.1%
16,17,Matt Prater(ARI),1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,52.8%
17,18,Justin Tucker(BAL),1,2,50.0,46,0,0,0,1,0,1,1,1,5.0,5.0,98.0%
18,19,Lirim Hajrullahu(CAR),0,0,0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.2%
19,20,Mason Crosby(GB),1,2,50.0,27,0,1,0,0,0,2,2,1,5.0,5.0,40.7%
20,21,Matthew Wright(JAC),1,2,50.0,56,0,0,0,0,1,0,1,1,5.0,5.0,0.2%
21,22,Matt Gay(LAR),1,1,100.0,37,0,0,1,0,0,1,1,1,4.0,4.0,89.8%
22,23,Ryan Santoso(LAR),1,2,50.0,20,0,1,0,0,0,1,2,1,4.0,4.0,0.1%
23,24,Brian Johnson(WAS),1,1,100.0,20,0,1,0,0,0,0,2,1,3.0,3.0,6.6%
24,25,Younghoe Koo(ATL),1,1,100.0,35,0,0,1,0,0,0,0,1,3.0,3.0,40.9%
25,26,Daniel Carlson(LV),0,0,0,0,0,0,0,0,0,2,2,1,2.0,2.0,74.3%
26,27,Chase McLaughlin(CLE),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,7.1%
27,28,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
28,29,Austin Seibert(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
29,30,Eddy Pineiro(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
30,31,Jason Myers(SEA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,22.1%
31,32,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
32,33,Ka'imi Fairbairn(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
33,34,Wil Lutz(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
34,35,Sam Ficken(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
35,36,Rodrigo Blankenship(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%
36,37,Evan McPherson(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2%
37,38,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
38,39,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,41,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,42,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,46,Sam Sloman(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Austin MacGinnis(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,48,Michael Palardy(MIA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%
48,49,Parker Douglass(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Piotr Czech(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,51,Steven Weatherford(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Zac Derr(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Ricky Schmit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Jason Reda(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Andrew Wellock(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Carlos Martinez(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Garrett Rivas(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,58,Graham Gano(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4%
