player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Joey Slye,3,3,100.0,40,0,2,0,1,0,4,4,1,14.0,1.6,WAS,1,K,LAC,True,2021
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,1,K,LAC,True,2021
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,LAC,True,2021
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,LAC,True,2021
Robbie Gould,2,3,66.7,52,0,0,0,1,1,5,5,1,14.0,22.5,SF,1,K,DET,False,2021
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,DET,False,2021
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,DET,False,2021
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,DET,False,2021
Dustin Hopkins,3,4,75.0,48,0,0,1,2,0,1,1,1,12.0,14.5,LAC,1,K,WAS,False,2021
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.7,LAC,1,K,WAS,False,2021
Chris Boswell,3,3,100.0,45,0,2,0,1,0,2,2,1,12.0,51.0,PIT,1,K,BUF,False,2021
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,PIT,1,K,BUF,False,2021
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,BUF,False,2021
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,BUF,False,2021
Matt Gay,2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,89.8,LAR,1,K,CHI,True,2021
Ryan Santoso,2,2,100.0,29,0,2,0,0,0,1,2,1,7.0,0.1,LAR,1,K,CHI,True,2021
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,1,K,CHI,True,2021
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,1,K,CHI,True,2021
Greg Zuerlein,3,5,60.0,48,0,1,1,1,0,2,3,1,12.0,74.2,DAL,1,K,TB,False,2021
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,1,K,TB,False,2021
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,TB,False,2021
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,TB,False,2021
Nick Folk,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,81.8,NE,1,K,MIA,True,2021
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,1,K,MIA,True,2021
Daniel Carlson,2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,74.3,LV,1,K,BAL,True,2021
Tyler Bass,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,84.8,BUF,1,K,PIT,True,2021
Justin Tucker,2,2,100.0,47,0,0,0,2,0,3,3,1,11.0,98.0,BAL,1,K,LV,False,2021
Evan McPherson,2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,34.2,CIN,1,K,MIN,True,2021
Harrison Butker,2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,76.6,KC,1,K,CLE,True,2021
Brandon McManus,2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,44.3,DEN,1,K,NYG,False,2021
Aldrick Rosas,1,1,100.0,44,0,0,0,1,0,5,5,1,9.0,1.8,FA,1,K,,,2021
Tristan Vizcaino,2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,0.8,FA,1,K,,,2021
Josh Lambo,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.2,FA,1,K,,,2021
Elliott Fry,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,2.4,FA,1,K,,,2021
Greg Joseph,1,1,100.0,53,0,0,0,0,1,3,3,1,8.0,69.1,MIN,1,K,CIN,False,2021
Matt Prater,1,2,50.0,34,0,0,1,0,0,5,5,1,8.0,52.8,ARI,1,K,TEN,False,2021
Ryan Succop,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,57.4,TB,1,K,DAL,True,2021
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,DAL,True,2021
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,DAL,True,2021
Jake Elliott,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,22.5,PHI,1,K,ATL,False,2021
Austin Seibert,1,2,50.0,49,0,0,0,1,0,2,2,1,6.0,0.1,DET,1,K,SF,True,2021
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,1,K,SF,True,2021
Younghoe Koo,2,2,100.0,27,0,2,0,0,0,0,0,1,6.0,40.9,ATL,1,K,PHI,True,2021
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,PHI,True,2021
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,PHI,True,2021
Jason Sanders,1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,22.6,MIA,1,K,NE,False,2021
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,1,K,NE,False,2021
Rodrigo Blankenship,1,1,100.0,21,0,1,0,0,0,1,1,1,4.0,4.1,IND,1,K,SEA,True,2021
Michael Badgley,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,19.9,IND,1,K,SEA,True,2021
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,1,K,SEA,True,2021
Jason Myers,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,22.1,SEA,1,K,IND,False,2021
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,7.1,CLE,1,K,KC,False,2021
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,1,K,KC,False,2021
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,1,K,KC,False,2021
Mason Crosby,1,1,100.0,39,0,0,1,0,0,0,0,1,3.0,40.7,GB,1,K,NO,False,2021
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,1,K,NO,False,2021
Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.1,CHI,1,K,LAR,False,2021
Graham Gano,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,31.4,NYG,1,K,DEN,True,2021
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,1,K,DEN,True,2021
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,1,K,HOU,False,2021
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,1,K,CAR,False,2021
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.1,NYJ,1,K,CAR,False,2021
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,CAR,False,2021
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,CAR,False,2021
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,CAR,False,2021
