player,field_goal,field_goal_att,XPT,fantasy_points,team,position,week,year
Harrison Butker,1.9,2.2,2.9,8.5,KC,K,11,2021
Ryan Succop,1.8,2.2,3.0,8.4,TB,K,11,2021
Chase McLaughlin,1.9,2.3,2.5,8.3,CLE,K,11,2021
Randy Bullock,1.8,2.1,2.8,8.3,TEN,K,11,2021
Greg Zuerlein,1.8,2.3,2.7,8.1,DAL,K,11,2021
Tyler Bass,1.7,2.0,3.0,8.0,BUF,K,11,2021
Daniel Carlson,1.9,2.3,2.4,7.9,LV,K,11,2021
Nick Folk,1.7,1.9,2.8,7.9,NE,K,11,2021
Greg Joseph,1.8,2.2,2.4,7.9,MIN,K,11,2021
Robbie Gould,1.7,2.0,2.6,7.9,SF,K,11,2021
Brian Johnson,2.0,2.1,1.9,7.9,WAS,K,11,2021
Zane Gonzalez,1.9,2.2,2.1,7.8,CAR,K,11,2021
Dustin Hopkins,1.8,2.2,2.3,7.7,LAC,K,11,2021
Evan McPherson,1.7,2.1,2.4,7.5,CIN,K,11,2021
Chris Boswell,1.8,2.0,2.0,7.4,PIT,K,11,2021
Mason Crosby,1.5,1.9,2.7,7.3,GB,K,11,2021
Jason Sanders,1.7,2.1,2.2,7.3,MIA,K,11,2021
Justin Tucker,1.6,1.8,2.4,7.2,BAL,K,11,2021
Matt Prater,1.7,2.1,2.0,7.2,ARI,K,11,2021
Cairo Santos,1.7,1.9,2.0,7.1,CHI,K,11,2021
Jason Myers,1.6,2.0,2.1,7.1,SEA,K,11,2021
Graham Gano,1.8,2.1,1.8,7.1,NYG,K,11,2021
Jake Elliott,1.7,2.0,1.9,7.0,PHI,K,11,2021
Younghoe Koo,1.6,1.9,2.0,6.9,ATL,K,11,2021
Austin Seibert,1.6,1.8,1.8,6.7,DET,K,11,2021
Chris Blewitt,1.5,2.2,1.9,6.5,CLE,K,11,2021
Michael Badgley,1.5,1.7,2.0,6.4,IND,K,11,2021
Joey Slye,1.5,1.8,1.7,6.2,WAS,K,11,2021
Matt Ammendola,1.4,1.8,1.9,6.2,NYJ,K,11,2021
Matthew Wright,1.4,1.7,1.7,6.0,JAC,K,11,2021
Ka'imi Fairbairn,1.4,1.7,1.7,6.0,HOU,K,11,2021
