team,games,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,year
HOU,16,399,4803,12.0,300.2,72,29,6,4,2009
IND,16,402,4605,11.5,287.8,80,34,3,1,2009
NE,16,390,4540,11.6,283.8,81,28,4,2,2009
LAC,16,338,4506,13.3,281.6,81,29,3,1,2009
PIT,16,351,4496,12.8,281.0,60,28,6,2,2009
GB,16,357,4492,12.6,280.8,83,30,4,3,2009
NO,16,378,4490,11.9,280.6,75,34,5,3,2009
DAL,16,347,4483,12.9,280.2,80,26,3,2,2009
MIN,16,377,4403,11.7,275.2,63,34,3,2,2009
PHI,16,335,4380,13.1,273.8,71,27,3,1,2009
NYG,16,338,4246,12.6,265.4,74,28,4,1,2009
ARI,16,392,4200,10.7,262.5,45,27,5,4,2009
DEN,16,341,3825,11.2,239.1,87,21,2,2,2009
WAS,16,340,3797,11.2,237.3,84,21,5,2,2009
SEA,16,372,3771,10.1,235.7,53,20,6,4,2009
ATL,16,332,3697,11.1,231.1,90,26,3,1,2009
CHI,16,340,3677,10.8,229.8,71,27,3,1,2009
BAL,16,321,3637,11.3,227.3,72,21,2,2,2009
JAC,16,315,3599,11.4,224.9,63,15,5,3,2009
DET,16,316,3471,11.0,216.9,75,16,5,3,2009
MIA,16,331,3396,10.3,212.3,67,15,6,3,2009
SF,16,312,3293,10.6,205.8,73,23,2,2,2009
KC,16,296,3183,10.8,198.9,61,18,1,0,2009
TB,16,280,3136,11.2,196.0,47,18,1,1,2009
CIN,16,286,3134,11.0,195.9,73,21,7,5,2009
TEN,16,271,3104,11.5,194.0,69,16,5,4,2009
CAR,16,264,3070,11.6,191.9,66,16,3,0,2009
LAR,16,312,2970,9.5,185.6,50,12,5,3,2009
LV,16,255,2875,11.3,179.7,86,10,2,1,2009
BUF,16,256,2789,10.9,174.3,98,17,5,2,2009
NYJ,16,210,2596,12.4,162.3,65,12,3,2,2009
CLE,16,219,2255,10.3,140.9,59,11,5,4,2009
