,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Leonard Fournette(TB),17,100,5.9,28,0,3,7,8,31,4.4,1,0,1,37.1,37.1,74.8%
1,2,Joe Mixon(CIN),28,165,5.9,32,0,2,4,4,-2,-0.5,0,0,1,28.3,28.3,98.1%
2,3,Cordarrelle Patterson(ATL),16,108,6.8,27,0,2,2,3,27,13.5,0,0,1,25.5,25.5,95.1%
3,4,Elijah Mitchell(SF),27,133,4.9,15,0,1,5,6,35,7.0,0,0,1,22.8,22.8,88.5%
4,5,J.D. McKissic(WAS),7,30,4.3,10,0,1,5,5,26,5.2,1,0,1,17.6,17.6,32.9%
5,6,Dontrell Hilliard(TEN),12,131,10.9,68,0,1,1,2,2,2.0,0,1,1,17.3,17.3,27.5%
6,7,Myles Gaskin(MIA),16,49,3.1,8,0,2,2,2,3,1.5,0,0,1,17.2,17.2,83.2%
7,8,Josh Jacobs(LV),22,87,4.0,21,0,1,2,4,25,12.5,0,0,1,17.2,17.2,98.0%
8,9,Javonte Williams(DEN),14,54,3.9,12,0,1,3,4,57,19.0,0,0,1,17.1,17.1,92.7%
9,10,Antonio Gibson(WAS),29,111,3.8,17,0,0,7,7,35,5.0,0,0,1,16.6,16.6,95.9%
10,11,Austin Ekeler(LAC),12,31,2.6,6,0,0,6,8,68,11.3,1,0,1,15.9,15.9,99.9%
11,12,Jonathan Taylor(IND),16,83,5.2,15,0,1,4,5,14,3.5,0,0,1,15.7,15.7,100.0%
12,13,AJ Dillon(GB),20,69,3.5,8,0,0,5,5,21,4.2,1,0,1,15.0,15.0,87.4%
13,14,Darrell Henderson Jr.(LAR),16,55,3.4,7,0,0,4,4,18,4.5,1,0,1,13.3,13.3,76.0%
14,15,Tony Pollard(DAL),10,36,3.6,12,0,0,4,4,32,8.0,0,0,1,12.8,12.8,75.3%
15,16,Matt Breida(BUF),9,26,2.9,9,0,0,2,2,29,14.5,1,0,1,11.5,11.5,8.2%
